City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,pisco,-13.7,-76.2167,19.03,72,20,4.63,PE,1718819412
1,coedpoeth,53.0539,-3.0623,18.94,70,40,5.66,GB,1718819412
2,crane,31.3974,-102.3501,30.56,44,15,9.51,US,1718819412
3,freetown,8.484,-13.2299,29.84,70,75,5.66,SL,1718819412
4,albany,42.6001,-73.9662,35.02,62,95,0.45,US,1718819276
5,demyansk,57.643,32.466,18.03,96,100,5.02,RU,1718819412
6,bredasdorp,-34.5322,20.0403,11.28,77,15,0.82,ZA,1718819412
7,ushuaia,-54.8,-68.3,-0.19,69,75,6.17,AR,1718819392
8,bethel,41.3712,-73.414,33.36,61,0,3.09,US,1718819290
9,ilulissat,69.2167,-51.1,4.02,80,20,1.53,GL,1718819413
10,margaret river,-33.95,115.0667,9.49,80,0,2.74,AU,1718819413
11,port-aux-francais,-49.35,70.2167,3.68,90,77,10.2,TF,1718819413
12,adamstown,-25.066,-130.1015,22.08,78,73,9.08,PN,1718819413
13,invercargill,-46.4,168.35,3.9,83,99,1.79,NZ,1718819413
14,klyuchi,52.2667,79.1667,16.33,49,88,2.23,RU,1718819413
15,boguchany,58.3814,97.4531,6.03,86,100,5.0,RU,1718819413
16,ola,59.5833,151.2833,7.67,93,98,0.95,RU,1718819413
17,tura,25.5198,90.2201,23.23,97,100,2.11,IN,1718819413
18,mount isa,-20.7333,139.5,6.87,76,0,0.0,AU,1718819414
19,chonchi,-42.6128,-73.8092,6.18,79,91,1.75,CL,1718819414
20,bam,29.106,58.357,32.75,12,0,7.3,IR,1718819414
21,port mathurin,-19.6833,63.4167,23.96,65,20,9.9,MU,1718819414
22,glace bay,46.1969,-59.957,32.31,56,75,6.69,CA,1718819414
23,grytviken,-54.2811,-36.5092,-6.37,62,40,1.23,GS,1718819414
24,waitangi,-43.9535,-176.5597,7.68,66,87,7.95,NZ,1718819414
25,ribeira grande,38.5167,-28.7,21.22,64,40,3.09,PT,1718819414
26,luderitz,-26.6481,15.1594,15.09,75,49,7.5,NA,1718819414
27,aquidauana,-20.4711,-55.7872,34.9,21,1,4.47,BR,1718819415
28,saipan,15.1355,145.701,27.39,83,40,1.54,MP,1718819415
29,laguna,38.421,-121.4238,28.63,39,0,1.54,US,1718819415
30,papao,-17.75,-149.55,22.82,67,1,6.06,PF,1718819415
31,saint-pierre,-21.3393,55.4781,20.82,68,75,2.06,RE,1718819415
32,hadibu,12.65,54.0333,28.61,77,57,6.22,YE,1718819394
33,brokopondo,4.75,-55.1667,28.71,70,44,2.95,SR,1718819415
34,olonkinbyen,70.9221,-8.7187,0.95,99,100,5.17,SJ,1718819415
35,amboanjo,-22.6667,47.8167,21.55,74,64,3.3,MG,1718819415
36,thompson,55.7435,-97.8558,11.09,62,100,6.69,CA,1718819416
37,hithadhoo,-0.6,73.0833,28.55,69,71,1.96,MV,1718819416
38,vadso,70.0744,29.7487,8.49,93,75,12.86,NO,1718819416
39,sucua,-2.4667,-78.1667,27.41,65,40,2.06,EC,1718819416
40,tabas,33.5959,56.9244,33.73,12,1,6.18,IR,1718819416
41,yellowknife,62.456,-114.3525,16.34,47,75,7.2,CA,1718819416
42,hammerfest,70.6634,23.6821,14.25,88,75,8.23,NO,1718819416
43,iqaluit,63.7506,-68.5145,1.85,93,100,2.57,CA,1718819416
44,coari,-4.085,-63.1414,30.37,63,62,0.62,BR,1718819417
45,castillos,-34.1667,-53.8333,19.3,71,4,2.66,UY,1718819417
46,papatowai,-46.5619,169.4708,7.58,77,79,6.79,NZ,1718819417
47,jamestown,42.097,-79.2353,29.45,73,0,3.09,US,1718819392
48,susuman,62.7833,148.1667,13.21,72,56,0.57,RU,1718819417
49,colchani,-20.3,-66.9333,5.12,30,0,4.73,BO,1718819418
50,taro,-8.3862,115.28,23.0,98,65,0.13,ID,1718819418
51,rosario do sul,-30.2583,-54.9142,23.37,80,57,1.67,BR,1718819280
52,kailua-kona,19.6406,-155.9956,27.55,85,75,1.54,US,1718819418
53,sandnessjoen,66.0217,12.6316,10.29,71,75,3.6,NO,1718819418
54,badger,64.8,-147.5333,18.32,53,75,4.63,US,1718819419
55,puerto natales,-51.7236,-72.4875,-3.75,80,20,1.03,CL,1718819102
56,northam,51.0333,-4.2167,16.97,78,99,3.09,GB,1718819419
57,merignac,44.8325,-0.6338,24.03,60,20,4.12,FR,1718819419
58,fort bragg,35.139,-79.006,32.04,45,75,3.6,US,1718819419
59,touros,-5.1989,-35.4608,27.72,73,27,6.55,BR,1718819419
60,porto novo,6.4965,2.6036,28.9,81,49,3.38,BJ,1718819420
61,edinburgh of the seven seas,-37.0676,-12.3116,13.87,92,84,6.1,SH,1718819420
62,ingenio la esperanza,-24.2255,-64.839,25.27,20,0,0.82,AR,1718819420
63,ahiri,19.4,80.0167,27.07,86,100,0.96,IN,1718819420
64,tsiombe,-25.3,45.4833,20.09,79,0,1.25,MG,1718819421
65,balsas,-7.5325,-46.0356,35.56,26,3,3.84,BR,1718819421
66,vorgashor,67.5833,63.95,0.53,86,6,2.61,RU,1718819421
67,alice springs,-23.7,133.8833,13.75,88,75,0.0,AU,1718819421
68,san patricio,28.017,-97.5169,27.13,92,100,7.72,US,1718819421
69,chadan,51.2833,91.5833,8.46,62,81,0.3,RU,1718819422
70,keflavik,64.0049,-22.5624,9.24,87,100,3.6,IS,1718819422
71,talnakh,69.4865,88.3972,2.92,53,100,1.58,RU,1718819422
72,avarua,-21.2078,-159.775,20.03,83,65,1.03,CK,1718819422
73,tynda,55.1667,124.7167,5.7,94,2,1.22,RU,1718819423
74,trincomalee,8.5711,81.2335,27.97,74,100,10.16,LK,1718819423
75,iskateley,67.6803,53.1512,9.79,54,94,6.12,RU,1718819423
76,puerto ayora,-0.7393,-90.3518,26.98,99,99,2.24,EC,1718819423
77,kyshtovka,56.555,76.6271,11.81,88,98,2.72,RU,1718819423
78,usogorsk,63.4106,48.6872,19.02,77,100,2.38,RU,1718819423
79,bamboo flat,11.7,92.7167,26.05,94,40,2.57,IN,1718819423
80,hamilton,39.1834,-84.5333,33.18,65,0,2.57,US,1718819214
81,whakatane,-37.9585,176.9854,8.76,93,100,1.34,NZ,1718819424
82,lebu,-37.6167,-73.65,10.37,83,98,4.6,CL,1718819424
83,pacasmayo,-7.4006,-79.5714,20.78,71,60,6.08,PE,1718819424
84,west island,-12.1568,96.8225,26.99,94,100,9.26,CC,1718819424
85,georgetown,5.4112,100.3354,27.96,83,40,2.57,MY,1718819424
86,utrik,11.2278,169.8474,27.87,80,14,8.05,MH,1718819424
87,arvayheer,46.2639,102.775,13.94,67,97,1.43,MN,1718819424
88,zadonsk,52.3904,38.9261,19.5,90,63,2.92,RU,1718819156
89,lyman,48.9884,37.8023,23.31,57,47,1.78,UA,1718819425
90,ancud,-41.8697,-73.8203,7.74,63,80,2.37,CL,1718819425
91,qiqihar,47.3408,123.9672,18.02,93,96,4.86,CN,1718819425
92,karratha,-20.7377,116.8463,20.57,70,48,7.08,AU,1718819425
93,petropavlovsk-kamchatsky,53.0452,158.6483,5.33,100,100,2.0,RU,1718819425
94,keuruu,62.2667,24.7,18.1,62,85,3.97,FI,1718819426
95,qaqortoq,60.7167,-46.0333,4.81,85,100,4.39,GL,1718819426
96,odienne,9.51,-7.5692,30.4,57,67,0.59,CI,1718819426
97,qui nhon,13.7667,109.2333,26.59,86,98,2.19,VN,1718819426
98,mogadishu,2.0371,45.3438,26.3,86,70,7.03,SO,1718819426
99,murzuq,25.9155,13.9184,35.8,12,0,2.18,LY,1718819426
100,san luis de la loma,17.2706,-100.8939,30.36,68,13,6.42,MX,1718819426
101,eyl,7.9803,49.8164,26.92,83,100,10.54,SO,1718819427
102,punta arenas,-53.15,-70.9167,-1.94,80,75,2.06,CL,1718819388
103,mount vernon,40.9126,-73.8371,34.45,57,75,2.57,US,1718819093
104,haiku-pauwela,20.9219,-156.3051,25.14,73,40,5.14,US,1718819427
105,minas de marcona,-15.2119,-75.1103,17.5,56,20,6.41,PE,1718819427
106,malango,-2.9627,119.9001,17.69,96,100,0.83,ID,1718819427
107,mamuju,-2.6748,118.8885,25.26,89,100,1.28,ID,1718819175
108,tucurui,-3.7661,-49.6725,32.28,48,86,1.11,BR,1718819428
109,vilyuchinsk,52.9306,158.4028,6.15,93,22,0.74,RU,1718819428
110,tianpeng,30.9866,103.9393,25.26,85,100,1.39,CN,1718819428
111,college,64.8569,-147.8028,18.37,55,75,4.63,US,1718819428
112,port lincoln,-34.7333,135.8667,12.02,75,81,10.65,AU,1718819428
113,sanliurfa,37.2128,38.7817,34.93,12,0,1.23,TR,1718819428
114,beipiao,41.7919,120.7792,22.05,52,64,3.98,CN,1718819428
115,alaghsas,17.0187,8.0168,42.94,8,20,5.66,NE,1718819428
116,labytnangi,66.6572,66.4183,5.26,60,3,4.34,RU,1718819428
117,baruun-urt,46.6806,113.2792,16.95,82,100,2.8,MN,1718819428
118,la sarre,48.8002,-79.1996,26.54,85,70,8.23,CA,1718819278
119,fisterra,42.9049,-9.2629,17.79,83,52,9.06,ES,1718819429
120,nova sintra,14.8667,-24.7167,24.92,79,97,4.65,CV,1718819429
121,vernon,50.2581,-119.2691,19.61,48,74,1.03,CA,1718819178
122,kish,26.5578,54.0194,33.15,70,40,4.12,IR,1718819429
123,hasaki,35.7333,140.8333,17.38,82,0,1.91,JP,1718819429
124,thunder bay,48.4001,-89.3168,20.95,64,75,7.72,CA,1718819429
125,nishinoomote,30.7333,131.0,22.74,75,100,2.61,JP,1718819429
126,sanctuary point,-35.1114,150.629,6.85,76,1,2.58,AU,1718819429
127,taoudenni,22.6783,-3.9836,46.13,7,52,3.23,ML,1718819430
128,guerrero negro,27.9769,-114.0611,20.65,62,1,6.29,MX,1718819403
129,tralee,52.2704,-9.7026,16.14,59,0,4.12,IE,1718819430
